0.14,23.14,28.86,30.54,31.67,32.92,35.99,114.28,132.36,206.17,224.67,230.82,239.70,304.27,317.37,420.47,438.71,466.11,559.89,579.39,600.66,855.44,916.30,924.93,1013.19,1043.73,1270.67,1366.87,1504.21,1737.35,1768.51,2042.60,2073.17,2091.25,2340.98,2685.50,2864.83,3118.07,3399.53,3558.98,3878.99,4211.13,5252.60,5415.61,5467.86,7000.88,10098.81,20518.39,21061.24,21402.20,26480.55,29798.36,30214.52,39052.67,40717.30,43334.65,50749.72,53531.06,54137.55,59399.08,61927.58,108225.97,133660.49,165810.85,298704.95,345120.25,416340.81,454178.43,650214.93,768052.28,876669.64,951362.11,1339631.03,1582938.35,3614545.01
1.91,5.16,10.70,12.14,12.32,20.20,21.92,22.80,23.14,44.41,56.03,58.84,59.91,71.32,73.60,79.69,81.67,87.53,100.60,101.65,119.46,121.12,130.64,163.78,171.47,172.76,240.17,241.98,306.22,319.82,375.05,437.76,511.65,564.66,578.63,591.65,644.13,721.55,818.70,861.03,947.37,1008.48,1309.75,1397.95,1410.18,1416.91,1458.19,1524.43,1737.39,2059.41,2219.11,2600.57,2622.77,2787.62,3143.55,3293.70,3974.93,4033.02,4526.61,4765.51,5059.79,5610.29,5663.29,5708.99,6076.57,6254.80,6693.38,7561.25,11206.00,13688.55,17814.63,18984.62,20062.65,22468.04,101771.82
101.50,120.73,165.78,230.82,254.21,265.82,282.09,312.03,346.27,359.55,380.57,392.09,406.59,515.22,544.65,649.40,655.88,686.20,687.08,697.74,748.38,759.86,784.61,787.73,789.91,801.67,803.62,809.26,826.86,832.38,914.76,921.57,937.18,1014.05,1018.71,1042.69,1148.16,1196.12,1212.05,1277.10,1396.05,1437.53,1445.48,1476.33,1563.18,1567.03,1583.45,1604.66,1801.68,1929.05,2024.81,2093.10,2154.70,2220.51,2282.62,2381.82,2517.34,2702.50,2770.14,2940.40,3006.31,3229.43,3237.67,3494.91,3938.46,4592.73,4834.21,5573.94,5802.18,7189.20,8788.12,11374.19,15214.73,15343.44,21202.64
2.70,5.31,5.51,5.98,8.69,8.88,14.70,18.99,20.75,21.40,21.42,21.49,27.41,35.23,35.58,35.83,38.54,41.44,44.01,46.21,58.16,61.03,62.23,69.15,70.32,72.65,88.41,89.00,91.25,96.90,103.87,110.47,112.28,117.79,118.61,123.54,127.12,142.21,145.76,162.94,168.77,206.04,209.80,216.41,222.46,252.04,258.38,275.94,311.49,399.61,421.48,475.60,488.93,528.00,655.34,705.98,770.82,783.58,812.89,887.70,990.81,1188.61,1466.99,1617.51,1781.94,1807.05,1883.03,3217.29,3919.31,5716.68,7702.80,7841.07,10626.09,13429.58,14591.96
0.16,0.47,0.50,0.50,1.43,1.64,10.88,11.98,13.91,20.41,20.91,24.64,30.37,44.09,48.52,66.26,74.95,79.66,80.63,94.80,104.57,133.96,144.05,160.20,187.93,219.24,315.87,326.64,327.23,413.00,468.13,552.43,724.93,786.21,811.84,1044.47,1090.19,1245.63,1590.49,1611.47,1793.21,1997.81,3276.02,3451.88,3534.31,3567.00,4121.88,4205.78,4958.26,6300.70,7940.00,16115.65,16779.94,35896.18,39249.69,43173.83,65920.60,110243.46,127911.39,235151.96,545513.26,648203.52,1128215.38,1566395.24,1761875.65,1842038.93,2259671.40,3337689.49,5945641.75,6861837.90,21547098.38,24127615.08,29900647.38,53159307.69,66748532.98
0.31,0.55,0.80,1.67,3.19,4.66,4.90,7.06,9.14,9.53,9.71,20.02,26.27,34.68,40.78,48.82,50.31,64.81,82.02,100.50,116.19,122.61,131.57,135.67,145.23,155.96,173.55,179.23,251.18,265.29,365.31,434.59,438.31,444.54,503.51,520.19,816.36,891.35,932.55,1039.49,1161.58,1329.22,1340.26,1374.64,1646.02,1724.99,2142.46,2251.67,2493.02,2695.80,3140.66,3626.80,4857.77,5050.81,6838.54,7758.11,8681.31,8767.77,11458.26,11850.03,14276.73,16941.33,36644.77,42025.05,48911.70,53008.21,54060.82,60668.26,270837.81,306080.10,370664.60,454754.42,8532666.72,10587136.13,267546294.11
126.31,136.81,156.97,158.27,171.67,215.20,320.15,329.78,366.72,384.20,402.30,402.40,413.06,420.40,422.03,439.24,468.67,469.77,486.75,492.09,498.57,511.84,513.22,551.83,555.03,575.12,651.32,660.58,684.46,710.85,717.04,756.70,757.23,761.06,776.79,791.94,802.33,819.91,863.74,871.38,875.68,942.51,1000.73,1013.37,1049.31,1073.79,1081.04,1105.27,1184.69,1197.91,1283.90,1319.07,1324.75,1336.12,1384.04,1422.53,1422.81,1500.46,1589.88,1821.18,1845.74,1910.01,1922.41,1931.17,2005.65,2037.36,2182.99,3121.44,3287.69,3363.85,3650.95,3726.30,4718.18,5509.97,9187.08
2.59,4.35,8.85,10.60,11.13,13.89,14.00,14.00,15.03,19.15,20.97,22.42,22.81,26.43,27.07,27.37,29.97,30.41,31.67,31.93,35.58,35.58,38.79,40.96,43.78,46.87,47.90,54.98,59.96,62.29,69.61,72.42,72.76,73.24,79.71,81.04,85.08,90.95,92.16,94.02,96.68,97.19,101.85,132.95,140.10,154.57,157.47,159.60,171.84,185.76,208.78,210.69,225.71,231.71,241.53,272.56,295.68,330.93,351.79,390.36,391.46,420.43,430.83,438.45,460.55,513.82,520.01,531.09,553.44,608.76,1026.27,1121.34,1292.62,1755.17,2036.12
0.04,0.08,0.40,0.63,0.94,2.14,2.49,4.38,6.88,7.71,9.08,9.72,10.16,11.17,13.71,18.89,23.22,24.14,27.83,30.19,55.62,56.82,63.77,88.73,91.67,101.89,146.54,155.18,156.47,258.24,262.95,275.72,366.91,520.90,529.87,629.35,634.28,1579.70,1803.88,2025.76,2535.54,2812.88,2964.10,3127.94,3326.36,3355.65,3704.57,4084.69,4990.97,5047.73,5351.22,7230.53,7663.01,9018.52,9493.13,10898.04,11059.62,14503.43,15875.21,38257.52,51340.40,66685.78,92466.44,103971.75,109685.38,145563.03,463405.81,679654.30,1119176.06,1278241.24,1588381.83,2031712.03,15641208.38,221952439.90,715367133.41
0.29,0.39,1.56,2.05,5.86,6.19,6.84,24.68,27.15,33.76,37.61,48.03,66.87,70.92,84.47,86.72,93.10,99.10,114.31,125.48,139.69,161.51,168.67,199.86,257.78,277.47,291.78,422.95,435.41,507.77,536.02,565.63,619.87,819.67,852.81,854.84,903.26,963.59,991.42,1030.54,1070.86,1091.51,1198.76,1374.04,1437.84,1754.91,2056.07,2122.17,2207.46,2305.78,2323.66,2466.38,3305.72,4161.49,4366.74,5058.63,5067.88,6301.71,6471.67,6682.39,7922.85,8020.35,9333.86,9347.34,9400.40,9508.76,9558.62,10758.50,15857.30,19051.71,61932.30,89196.74,135524.34,185359.39,815374.11
