series,model,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,YW,22,24.1,23.5,21.15,25.7,22.7,23.8,29.6,16.9,24.7,24.6,25.7,23
1,YW,21,20.9,20.9,18.95,23.5,22,22.3,26.3,24.2,23.7,20,26.3,22
2,YW,19,22.4,21.4,20.45,25,24.3,21.6,22.8,23.5,18.3,18.4,17.7,17.3
3,YW,16,16.6,14.7,14.65,19.2,19.6,18.3,23.2,11.7,14.8,18.7,17.5,17.9
4,YW,26,27.6,26.3,25.65,30.2,30.8,23.4,30,29,28.2,25.3,26,27
5,YW,17,19.4,15.8,17.45,22,18.8,19.1,21,12.8,16.4,18.4,19.3,19.8
6,YW,23,26.4,25.5,20.45,25,25.7,23.7,27.7,23.7,24.8,25.1,24.1,27.1
7,YW,28,29.9,29.7,26.95,31.5,30.2,29.6,26.3,31.7,29.8,29.4,30.4,28.7
8,YW,26,26.3,28.1,24.35,28.9,31.7,27.1,30.2,22.3,24.4,24.6,26.9,25.8
9,YW,25,23.9,25.1,21.95,26.5,29.9,27.9,30.6,28.5,25.1,28,24.6,28.6
