type,val
b0,18.4
b1,20
b2,23.8
b3,18.6
b4,20
b5,23.6
b6,24.4
b7,19.8
b8,22.8
b9,25
b10,22
b11,17.2
b12,19.2
b13,20
b14,24.4
b15,28.2
b16,21.4
b17,23.2
b18,20.8
b19,21.6
b20,20.2
b21,22.6
b22,16.8
b23,25.2
b24,23
b25,26.2
b26,29
b27,21.4
b28,21.8
b29,19.8
b30,20.8
b31,22.2
b32,21.6
b33,17.8
b34,21.8
b35,21.4
b36,22.6
b37,19.8
b38,23.2
b39,20.6
b40,28.6
b41,21.2
b42,21
b43,20.2
b44,22
b45,19.8
b46,22.8
b47,18
b48,18.4
b49,18.4
yar,24.2
yhw,24.1
ysvm,19.8
ylstm,24.8
ymlp,20.6
yrf,19.3
yxgb,20.4
yarima,21.6
