newvals
0
0
1159
380
704
621
437
0
0
1240
816
696
1034
570
0
0
1352
814
777
1029
595
0
0
1209
1008
940
780
567
96
0
1209
816
567
680
411
0
0
1248
1040
940
506
477
0
0
1557
1298
1176
1239
796
0
0
1562
780
1240
1302
838
0
0
1353
1128
567
924
492
0
0
1689
1080
1408
504
630
0
0
1573
456
924
1254
718
0
0
1497
1248
840
888
570
0
0
1297
1081
940
966
628
0
0
1176
980
940
480
468
0
0
1873
1240
1656
1180
1156
0
0
1595
1034
1416
1357
1152
42
40
1884
987
1704
980
1138
0
0
1684
1488
1488
1034
1072
0
0
1501
1296
1140
1357
1082
0
0
1300
1197
1197
1092
981
0
0
1756
1280
1407
1587
1225
0
0
1782
1608
1368
1298
1100
0
0
1836
1134
1656
1029
1130
0
0
1921
1554
1702
1248
1221
0
0
1311
1196
719
1056
835
44
48
1260
706
1080
1176
981
48
46
1290
814
694
1180
866
48
42
2073
1863
1420
1197
1117
96
84
1807
924
1608
1474
1242
46
48
2143
1863
968
1518
1009
96
92
1856
1239
1656
1380
1218
48
40
1829
1628
1480
1340
1120
147
154
1835
882
1633
1520
1246
357
374
1755
1280
1180
1562
1090
0
0
1913
1008
1702
1480
1237
40
46
1853
1628
1587
1380
1194
48
48
2033
1782
1701
1776
1351
42
40
2199
1134
1176
1896
1211
40
44
1512
1344
1344
672
881
46
44
1575
1407
1344
1298
1100
288
240
2183
1911
1820
1081
1161
40
46
2189
1620
1554
1944
1351
96
84
1678
1298
1472
1092
1043
96
80
1702
1536
1080
1298
968
198
180
1857
1656
1518
897
1015
46
42
1785
1480
1196
1587
1134
0
0
2274
940
1932
1738
1444
408
276
2507
2178
2184
1416
1382
198
88
2077
1848
1848
1407
1275
92
96
2050
1780
1780
1364
1228
140
154
1480
888
696
1311
871
0
0
2458
819
680
924
725
0
0
2494
1449
2112
2208
1631
48
40
1921
1704
1633
1140
1111
336
294
2494
2178
2047
1491
1363
97
456
3030
1380
1628
2616
1614
252
264
2979
1704
2552
2320
1826
264
336
2568
2256
1978
1554
1353
207
216
2489
2180
2068
2136
1610
42
96
2893
1034
1240
1536
1121
-20
399
2770
1780
2424
1863
1641
189
198
3166
2736
2622
2121
1772
180
189
2049
2090
1720
1806
1349
161
168
4070
2742
2986
2928
2144
220
0
2525
2702
2181
2186
1631
80
84
3427
1535
2702
2641
2062
310
0
3606
1579
2420
1573
1504
189
198
2644
2283
2556
2687
1752
154
168
2331
2839
2920
1881
1761
127
437
3136
3046
1952
1874
2087
322
456
3040
2709
2310
2008
1438
163
484
2870
1892
2499
2394
1804
180
216
2949
1824
2553
2079
1726
216
180
3702
3174
2898
2904
2114
88
80
3782
3264
2856
2016
1823
294
322
3521
2620
3013
2691
1699
147
161
3639
2882
2208
3128
1979
322
294
4037
2920
3473
3322
2441
46
0
4390
2628
2662
2047
1777
140
147
3939
3108
3216
3404
2408
374
399
3909
2620
2288
2909
2336
245
462
4794
3160
3129
2990
2262
168
0
4868
3096
3001
3076
2274
216
264
4321
3260
3933
3272
2309
48
42
4486
3432
3412
3543
2430
303
462
3660
2620
2979
3146
1962
203
0
3443
2577
2838
2967
2130
226
252
4557
2909
3238
3220
2493
92
80
4840
3543
3520
2289
2118
322
288
4099
2320
2552
3528
2189
207
240
4769
3633
4092
3200
2179
180
216
4529
3864
2680
3013
2092
418
437
4506
2620
3843
3320
2584
147
140
4548
2736
3906
3528
2647
88
80
4065
2264
3473
2992
2026
88
88
4450
3792
3096
2881
2541
180
189
4574
3912
3749
2992
2423
276
84
5136
2728
2852
3660
2346
489
506
5672
4221
4425
3519
2939
399
418
4198
2856
3146
3120
2268
308
322
4822
3580
4108
4256
2983
408
374
4567
3080
4146
3159
2608
80
96
3309
2924
3585
3239
2062
141
0
5310
3966
4056
3966
2864
96
