model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,14.499999999999996,0.07906004421163258,1.4499999999999997,1.6900000000000002,0.06930766325925161,2.0280532537386677,-0.026237254414325027,0.9317270377453644
fcast_avg,8.0,0.06168153779074159,0.8,1.3200000000000003,0.0303615097795371,1.5748015748023623,-0.2711956521739133,0.968842698985152
fcast_05,-11.000000000000005,0.0670709431104858,-1.1000000000000005,1.4800000000000002,-0.046513667568690145,1.6972035823671834,-0.21535468422627968,0.9420847457146441
fcast_95,34.5,0.16421700027885247,3.45,3.45,0.16421700027885247,3.6841552627434146,-0.21535468422627957,0.942084745714644
yar,32.7,0.1485075837564867,3.2700000000000005,3.2700000000000005,0.1485075837564867,3.7074249823833254,0.09698568198945,0.9282523672111029
yhw,13.800000000000004,0.0893729792810053,1.3800000000000003,1.9000000000000008,0.0693729792810053,2.020396000787965,-0.3059515062454078,0.9237917802621266
ysvm,44.70000000000001,0.22875763426684145,4.470000000000001,4.8100000000000005,0.2166147771239843,5.080452735731335,-0.01742508704824929,0.7819899562293944
ylstm,1.2999999999999972,0.16971200104355644,0.12999999999999973,3.59,-0.008274938487500758,3.76497011940334,-0.5237560124592988,0.8454535199459228
ymlp,7.199999999999999,0.06911353542136958,0.72,1.5400000000000003,0.02737859853163393,1.7538529014715003,-0.08939630903972504,0.9482772922135988
yrf,9.5,0.0790556332941075,0.95,1.69,0.04706218814276762,1.8758997841036178,-0.4348366137970569,0.9122349911834254
yxgb,15.5,0.09021836981276003,1.55,1.89,0.07333415928644427,2.4279621084357967,-0.10229062276306379,0.8901167539671422
yarima,14.200000000000003,0.08594178753561241,1.4200000000000004,1.8,0.06650858915504562,2.1826589289213287,-0.05053137283447353,0.9153679290945946
